ردیف,عنوان,شاپا,شاپای الکترونیکی,ضریب تاثیر,سال,استنادهای تجمعی,ضريب تاثير آنی,مقالات,کیفیت در موضوع سطح میانی,زبان,کشور,استان,ناشر
1,آب و توسعه پايدار,24235474,27173321,0.05,1394,2,0,28,مهندسي كشاورزي (Q3),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
2,آب و توسعه پايدار,24235474,27173321,0.203,1399,73,0.031,32,"علوم اجتماعي (Q3), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
3,آب و توسعه پايدار,24235474,27173321,0.301,1401,113,0.067,45,"علوم اجتماعي (Q3), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
4,آب و توسعه پايدار,24235474,27173321,0.206,1400,92,0.098,41,"علوم اجتماعي (Q3), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
5,آب و توسعه پايدار,24235474,27173321,0.328,1398,57,0,36,"علوم اجتماعي (Q2), علوم زمين و علوم سياره اي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
6,آب و توسعه پايدار,24235474,27173321,0.19,1397,28,0,33,"علوم اجتماعي (Q2), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
7,آب و توسعه پايدار,24235474,27173321,0.154,1396,32,0.029,34,"علوم اجتماعي (Q2), علوم زمين و علوم سياره اي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
8,آب و توسعه پايدار,24235474,27173321,0.125,1395,7,0,29,مهندسي و فناوري كشاورزي (Q2),فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
9,آب و خاك,20084757,2423396x,0.17,1396,469,0,132,"علوم كشاورزي و زيست شناختي (Q2), علوم محيطي (Q3)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
10,آب و خاك,20084757,2423396x,0.214,1397,383,0.023,87,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
11,آب و خاك,20084757,2423396x,0.251,1398,338,0.088,68,"علوم كشاورزي و زيست شناختي (Q1), علوم محيطي (Q2)",فارسی,ايران,خراسان رضوي,دانشگاه فردوسي مشهد
