JOURNAL ID,NAME,YEARS CURRENTLY COVERED BY SCOPUS,PUBLISHER,ISSN,SUBJECT AREA,SOURCE TYPE,TIMESTAMP,CITESCORES,PERCENTILES IN CATEGORY,CITESCORE,SJR,SNIP,E-ISSN
21100200805,Scientific Reports,from 2011 to 2025,Springer Nature,2045.2322,Multidisciplinary,Journal,1/25/2025 8:55,,,,,,
21100255493,Journal of Environmental Chemical Engineering,from 2013 to 2025,Elsevier,2213.2929,Environmental Science: PollutionChemical Engineering: Process Chemistry and TechnologyChemical Engineering: Chemical Engineering (miscellaneous)Environmental Science: Waste Management and Disposal,Journal,1/25/2025 8:55,,,,,,
16313,Fuel,1922; from 1970 to 2025,Elsevier,16.2361,Chemistry: Organic ChemistryChemical Engineering: General Chemical EngineeringEnergy: Energy Engineering and Power TechnologyEnergy: Fuel Technology,Journal,1/25/2025 8:56,2019:9.1;2020:9.8;2021:11.2;2022:12.2;2023:12.8,,,,,
25858,Journal of Hazardous Materials,"1975; 1977, from 1979 to 2025",Elsevier,304.3894,Environmental Science: Environmental EngineeringEnvironmental Science: Waste Management and DisposalEnvironmental Science: PollutionEnvironmental Science: Health; Toxicology and MutagenesisView all,Journal,1/25/2025 8:56,,,,,,
21100369777,Materials Today Communications,from 2014 to 2025,Elsevier,,Engineering: Mechanics of MaterialsMaterials Science: Materials ChemistryMaterials Science: General Materials Science,Journal,1/25/2025 8:56,,2352.4928,5.2,0.671,0.917,
21100912215,ACS Applied Bio Materials,from 2018 to 2024,American Chemical Society,,Chemistry: General ChemistryMedicine: Biochemistry (medical)Engineering: Biomedical EngineeringMaterials Science: Biomaterials,Journal,1/25/2025 8:56,2019:1.1;2020:2.5;2021:4.9;2022:7.9;2023:9.4,2576.6422,,,,
16398,Chemical Engineering Journal,"1975; 1979, from 1996 to 2025",Elsevier,1385.8947,Engineering: Industrial and Manufacturing EngineeringChemical Engineering: General Chemical EngineeringEnvironmental Science: Environmental ChemistryChemistry: General Chemistry,Journal,1/25/2025 8:56,,,,,,2019:99;2020:99;2021:99;2022:99;2023:98
26991,International Journal of Hydrogen Energy,from 1976 to 2025,Elsevier,360.3199,Physics and Astronomy: Condensed Matter PhysicsEnergy: Energy Engineering and Power TechnologyEnergy: Fuel TechnologyEnergy: Renewable Energy; Sustainability and the Environment,Journal,1/25/2025 8:57,,,13.5,1.513,1.38,2019:92;2020:93;2021:93;2022:95;2023:95
26965,Journal of Molecular Liquids,from 1983 to 2025,Elsevier,167.7322,Physics and Astronomy: Condensed Matter PhysicsChemistry: SpectroscopyChemistry: Physical and Theoretical ChemistryMaterials Science: Materials ChemistryView all,Journal,1/25/2025 8:57,,,,,,2019:92;2020:92;2021:90;2022:92;2023:91
21100199840,RSC Advances,,,,,,1/25/2025 8:57,2019:6.5;2020:5.9;2021:5.9;2022:6.8;2023:7.5,,7.5,0.715,0.874,
21100420316,Applied Materials Today,from 2015 to 2025,Elsevier,2352.9407,Materials Science: General Materials Science,Journal,1/25/2025 8:57,,,,,,
24657,Chemosphere,,,,,,1/25/2025 8:57,,,15.8,1.806,1.52,
26950,Journal of Colloid and Interface Science,from 1966 to 2025,Elsevier,21.9797,"Materials Science: Surfaces; Coatings and FilmsMaterials Science: Electronic, Optical and Magnetic MaterialsMaterials Science: BiomaterialsChemical Engineering: Colloid and Surface Chemistry",Journal,1/25/2025 8:57,,,,,,
13754,Process Safety and Environmental Protection,,,,,,1/25/2025 8:58,,,11.4,1.293,1.635,
16392,Chemical Engineering and Processing - Process Intensification,,,,,,1/25/2025 8:58,,,7.8,0.739,1.066,
29348,Energy,,,,,,1/25/2025 8:58,,,,,,2019:98;2020:98;2021:98;2022:98;2023:98
21100828963,ACS Omega,from 2016 to 2024,American Chemical Society,,Chemistry: General ChemistryChemical Engineering: General Chemical Engineering,Journal,1/25/2025 8:58,2019:2.7;2020:3.9;2021:5.2;2022:5.9;2023:6.6,2470.1343,,,,
28983,Applied Surface Science,,,,,,1/25/2025 8:58,2019:8.7;2020:10.7;2021:12.1;2022:12.7;2023:12.5,,12.5,1.21,1.173,
22204,Journal of Drug Delivery Science and Technology,from 2004 to 2025,Editions de Sante,1773.2247,Pharmacology; Toxicology and Pharmaceutics: Pharmaceutical Science,Journal,1/25/2025 8:58,2019:3.4;2020:4.4;2021:6.3;2022:7.6;2023:8,,,,,
4700152855,Journal of Inorganic and Organometallic Polymers and Materials,"1996; from 2000 to 2001, from 2003 to 2025",Springer Nature,1574.1443,Materials Science: Materials ChemistryMaterials Science: Polymers and Plastics,Journal,1/25/2025 8:59,,,,,,
4000148503,International Journal of Environmental Science and Technology,from 2005 to 2025,Springer Nature,1735.1472,Agricultural and Biological Sciences: General Agricultural and Biological SciencesEnvironmental Science: Environmental EngineeringEnvironmental Science: Environmental Chemistry,Journal,1/25/2025 8:59,2019:2.9;2020:3.7;2021:5.6;2022:6.4;2023:5.6,,,,,
27569,Renewable Energy,from 1991 to 2025,Elsevier,960.1481,Energy: Renewable Energy; Sustainability and the Environment,Journal,1/25/2025 8:59,,,,,,
25194,Journal of Applied Electrochemistry,from 1971 to 2025,Springer Nature,0021-891X,Chemical Engineering: General Chemical EngineeringMaterials Science: Materials ChemistryChemistry: Electrochemistry,Journal,1/25/2025 8:59,,,,,,
130069,Chemistry and Biodiversity,from 2004 to 2025,John Wiley & Sons,1612.1872,"Chemistry: General ChemistryBiochemistry; Genetics and Molecular Biology: BiochemistryChemical Engineering: BioengineeringBiochemistry, Genetics and Molecular Biology: Molecular MedicineView all",Journal,1/25/2025 8:59,,,3.4,0.405,0.7,
29372,Energy Conversion and Management,from 1979 to 2025,Elsevier,196.8904,Energy: Nuclear Energy and EngineeringEnergy: Energy Engineering and Power TechnologyEnergy: Fuel TechnologyEnergy: Renewable Energy; Sustainability and the Environment,Journal,1/25/2025 9:00,,,19,2.553,2.124,2019:97;2020:97;2021:97;2022:97;2023:98
23918,Environmental Science and Pollution Research,from 1994 to 2025,Springer Nature,944.1344,Environmental Science: Health; Toxicology and MutagenesisEnvironmental Science: PollutionEnvironmental Science: Environmental Chemistry,Journal,1/25/2025 9:00,,,,,,
5300152234,Journal of the Iranian Chemical Society,from 2006 to 2025,Springer Nature,1735-207X,Chemistry: General Chemistry,Journal,1/25/2025 9:00,,,,,,
22701,Applied Organometallic Chemistry,from 1987 to 2025,John Wiley & Sons,268.2605,Chemistry: Inorganic ChemistryChemistry: General Chemistry,Journal,1/25/2025 9:00,,,,,,
16325,Advanced Powder Technology,from 1990 to 2025,Elsevier,921.8831,,Journal,1/25/2025 9:00,,,,,,
18063,Journal of Power Sources,,,,,,1/25/2025 9:01,2019:14.4;2020:14.4;2021:15.4;2022:15.9;2023:16.4,,,,,
21100444313,Sustainable Chemistry and Pharmacy,from 2015 to 2025,Elsevier,,"Pharmacology; Toxicology and Pharmaceutics: Pharmaceutical ScienceEnvironmental Science: Management, Monitoring, Policy and LawEnvironmental Science: PollutionView all",Journal,1/25/2025 9:01,,2352.5541,,,,
9500153949,Dalton Transactions,from 2002 to 2024,Royal Society of Chemistry,1477.9226,Chemistry: Inorganic Chemistry,Journal,1/25/2025 9:01,,,,,,
25143,Advanced Functional Materials,from 2000 to 2025,John Wiley & Sons,1616-301X,Physics and Astronomy: Condensed Matter PhysicsMaterials Science: General Materials ScienceChemistry: General Chemistry,Journal,1/25/2025 9:01,,,,,,2019:98;2020:98;2021:98;2022:98;2023:98
