Name,LastName,ScholarID,ScopusID,NameEn,Affiliation,Email,Citation,ImagePath
محسن,خسروی,IMe0b4P12KQC,36026605900,Mohsen Khosravi,University of isfahan,ast.ui.ac.ir,2844,img\Mohsen Khosravi-IMe0b4P12KQC.jpg
ابوالقاسم,اسماعیلی,V7_TSDkAAAAJ,26023060500,Abolghasem Esmaeili,Professor of Molecular Biology (Neuroscience)  University of Isfahan,sci.ui.ac.ir,2831,img\Abolghasem Esmaeili-V7_TSDkAAAAJ.jpg
امیرحسین,نوارچیان,IUyzA_MAAAAJ,6506412564,Amir Hosein Navarchian,Professor at Department of Chemical Engineering  Faculty of Engineering  University of â€¦,eng.ui.ac.ir,2778,img\Amir Hosein Navarchian-IUyzA_MAAAAJ.jpg
مهرداد,فرهادیان,ZaqHhJQAAAAJ,23975662300,Mehrdad Farhadian,Department of Chemical Engineering  University of Isfahan,eng.ui.ac.ir,2750,img\Mehrdad Farhadian-ZaqHhJQAAAAJ.jpg
عباس,رحمتی,YERjjAIAAAAJ,9038037500,Abbas Rahmati,University of Isfahan,sci.ui.ac.ir,2673,img\Abbas Rahmati-YERjjAIAAAAJ.jpg
مجید,اسدی,mCJaUjcAAAAJ,56186388000,Majid Asadi,Professor of Statistics  University of Isfahan,sci.ui.ac.ir,2610,img\Majid Asadi-mCJaUjcAAAAJ.jpg
مسعود آیت اللهی,مهرگردی,duAckbQAAAAJ,6506021653,Masoud A. Mehrgardi,University of Isfahan; Stanford University,chem.ui.ac.ir,2543,img\Masoud A. Mehrgardi-duAckbQAAAAJ.jpg
محمد علی,اسداللهی,n0cMcDYAAAAJ,12445075900,Mohammad Ali Asadollahi,Assistant Professor of Industrial Biotechnology  University of Isfahan,ast.ui.ac.ir,2524,img\Mohammad Ali Asadollahi-n0cMcDYAAAAJ.jpg
عبدالله,نوربخش,u7m4wkUAAAAJ,9133610400,Abdollah Noorbakhsh,Department of Nanotechnology Engineering  University of Isfahan  Iran,ast.ui.ac.ir,2496,img\Abdollah Noorbakhsh-u7m4wkUAAAAJ.jpg
مهدی,قلی پور,mCN4IBEAAAAJ,57205640330,Mehdi gholipour,Associate Professor of Electrical engineering- university of Isfahan,eng.ui.ac.ir,2472,img\Mehdi gholipour-mCN4IBEAAAAJ.jpg
حمید,امیری رودباری,nkyNYpwAAAAJ,56343109600,Hamid Amiri,Associate professor  Department of Biotechnology  University of Isfahan,ast.ui.ac.ir,2471,img\Hamid Amiri-nkyNYpwAAAAJ.jpg
عباس,اسلامی راسخ,jHYviX0AAAAJ,36133651300,Abbass Eslami Rasekh,University of Isfahan,fgn.ui.ac.ir,2457,img\Abbass Eslami Rasekh-jHYviX0AAAAJ.jpg
مهرداد,کلانتری,84b95XkAAAAJ,16447401500,Mehrdad Kalantari,Professor of Psychology  Departmant of Psycholoy-University of Isfahan,edu.ui.ac.ir,2435,img\Mehrdad Kalantari-84b95XkAAAAJ.jpg
